timestamp,open,high,low,close,volume
2020-02-18,149.7900,151.3800,149.6400,151.1000,3343038
2020-02-14,154.4200,154.5600,149.7700,150.7000,6095081
2020-02-13,154.3700,154.8300,153.4100,154.3100,3819757
2020-02-12,153.7500,155.6000,153.5200,155.3100,4437792
2020-02-11,155.1200,155.2200,152.7304,153.4800,3833574
2020-02-10,152.9700,154.4400,151.5800,154.4300,5237553
2020-02-07,154.5500,155.5400,152.9200,153.4100,6414553
2020-02-06,156.8200,158.7500,155.4200,156.7600,8394374
2020-02-05,150.2100,157.4400,150.1500,156.3300,14379714
2020-02-04,147.7800,149.3800,146.8800,149.1100,5619700
2020-02-03,144.2500,147.2800,143.9000,146.2700,8886414
2020-01-31,142.9000,144.0500,140.7900,143.7300,18987138
2020-01-30,136.7600,136.9700,134.9700,136.7700,5007038
2020-01-29,139.1700,139.5800,137.5950,137.6900,3053189
2020-01-28,139.5000,140.4700,138.7500,139.5500,3449000
2020-01-27,138.5000,140.0690,138.1000,138.6200,4165146
2020-01-24,143.3900,143.9200,140.4600,140.5600,5579292
2020-01-23,144.2000,144.4097,142.1500,142.8700,5654308
2020-01-22,143.3200,145.7900,142.5500,143.8900,16464948
2020-01-21,137.8100,139.3500,137.6000,139.1700,7130819
2020-01-17,136.5400,138.3300,136.1600,138.3100,5622251
2020-01-16,137.3200,138.1900,137.0100,137.9800,4319896
2020-01-15,136.0000,138.0550,135.7100,136.6200,4045591
2020-01-14,136.2800,137.1390,135.5500,135.8200,3680958
2020-01-13,135.4800,136.6400,135.0700,136.6000,3162843
2020-01-10,137.0000,137.8700,136.3100,136.6900,3255398
2020-01-09,135.7400,136.7900,135.3100,136.7400,3730549
2020-01-08,134.5100,135.8600,133.9200,135.3100,4345952
2020-01-07,133.6900,134.9600,133.4000,134.1900,3267592
2020-01-06,133.4200,134.2400,133.2000,134.1000,2421128
2020-01-03,133.5700,134.8600,133.5600,134.3400,2373470
2020-01-02,135.0000,135.9200,134.7701,135.4200,3148461
2019-12-31,132.5300,134.1200,132.4000,134.0400,3777504
2019-12-30,135.2000,135.3000,132.5000,132.8100,4118929
2019-12-27,135.0000,135.7500,134.8700,135.2700,2752185
2019-12-26,134.9800,135.3055,134.6500,134.9100,2129654
2019-12-24,135.6100,135.6200,134.6100,134.9800,1202087
2019-12-23,135.7800,136.1500,135.0000,135.5500,2803158
2019-12-20,135.7400,136.4200,134.9500,135.5900,7111779
2019-12-19,134.4600,134.7250,134.1900,134.5600,3866494
2019-12-18,134.5500,135.0000,134.1504,134.4100,3101819
2019-12-17,134.2800,134.6900,133.4600,134.2200,2907186
2019-12-16,134.9400,135.4500,133.8500,134.1300,3049224
2019-12-13,134.7500,135.5000,134.0100,134.2100,2534970
2019-12-12,133.7000,135.6604,133.6600,135.3200,4824103
2019-12-11,134.1100,134.5100,133.6700,133.7600,3698494
2019-12-10,133.9200,134.8400,133.5600,133.9100,3478362
2019-12-09,133.3500,134.5900,133.2600,133.9200,2968310
2019-12-06,132.7500,133.8900,132.7000,133.2200,3437438
2019-12-05,132.9900,133.2400,131.6264,131.9100,3595312
2019-12-04,132.8600,133.6800,131.9600,131.9900,3530028
2019-12-03,132.0000,132.4400,130.6890,132.1200,3708102
2019-12-02,134.4500,134.5000,132.4800,132.9100,3066813
2019-11-29,133.6000,134.5200,133.0300,134.4500,1825255
2019-11-27,135.3500,135.7100,133.6200,133.7700,3280699
2019-11-26,136.1500,136.1500,134.7700,135.0900,3806859
2019-11-25,134.4700,136.0000,134.3500,135.9700,2590146
2019-11-22,134.1900,134.6500,133.5900,134.3400,3297397
2019-11-21,133.4000,134.1700,132.9800,133.8400,3322158
2019-11-20,134.0600,134.4614,132.7500,133.2000,4138165
2019-11-19,134.8800,135.3800,134.4600,134.5200,2995004
2019-11-18,134.3000,134.4800,133.2300,134.3100,3210383
2019-11-15,134.3900,135.1200,134.0300,134.4000,3262504
2019-11-14,134.1300,134.3300,133.3300,134.0000,4231231
2019-11-13,135.3900,135.5800,133.8450,134.4800,3060919
2019-11-12,135.8700,136.6600,135.0200,135.5900,3046496
2019-11-11,137.2000,137.2000,135.0000,135.4700,2568022
